Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodiella inundata (L.) Holub , Плаунок топяной
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium annotinum L., Плаун годичный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium clavatum L., Плаун булавовидный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium complanatum L., Плаун сплюснутый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Aegonychon purpureo-caeruleum S.F. Gray., Эгонихон фиолетово-голубой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Anchusa ochroleuca Bieb. s.l., Воловик светло-желтый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Echium russicum S.G. Gmel., Синяк русский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Omphalodes scorpioides (Haenke) Schrank, Пупочник ползучий
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Onosma polychroma Klok., Оносма многоцветная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Onosma tinctoria Bieb., Оносма красильная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Boraginaceae, Бурачниковые, Symphytum tauricum Willd., Окопник крымский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Alyssum gmelinii Jord., Бурачок Гмелина
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Alyssum lenense Adams, Бурачок Ленский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Clausia aprica (Steph.) Korn.-Tr., Клаусия солнцелюбивая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Crambe tataria Sebeok, Катран татарский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Dentaria quinquefolia Bieb., Зубянка пятилистная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Erucastrum cretaceum Kotov, Рогачка меловая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Erysimum cretaceum (Rupr.) Schmalh., Желтушник меловой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Lepidium meyeri Claus, Клоповник Мейера
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Matthiola fragrans Bunge, Левкой душистый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cruciferae, Крестоцветные, Schivereckia podolica (Bess.) Andrz. ex DC., Шиверекия подольская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Campanulaceae, Колокольчиковые, Adenophora lilifolia (L.) A. DC., Бубенчик лилиелистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Campanulaceae, Колокольчиковые, Asyneuma canescens (Waldst. et Kit.) Griseb. et Schrenk, Азинеума сероватая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Campanulaceae, Колокольчиковые, Campanula cervicaria L., Колокольчик жестколистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Dianthus elongatus C.A. Mey, Гвоздика удлиненная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Dianthus membranaceus Borb., Гвоздика перепончатая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Dianthus pseudoarmeria Bieb., Гвоздика ложноармериевидная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Dianthus squarrosus Bieb., Гвоздика растопыренная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Dianthus superbus L., Гвоздика пышная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Silene cretacea Fisch. ex Spreng., Смолевка меловая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Caryophyllaceae, Гвоздиковые, Silene supina Bieb., Смолевка приземистая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ceratophyllaceae, Роголистниковые, Ceratophyllum tanaiticum Sapjeg., Роголистник донской
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Atriplex pedunculata L., Лебеда стебельчатая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Camphorosma songorica Bunge, Камфоросма джунгарская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Krascheninnikovia ceratoides (L.) Gueldenst., Терескен серый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Petrosimonia triandra (Pall.) Simonk., Петросимония трехтычинковая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Salicornia prostrata Pall., Солерос простертый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Suaeda acuminata (C. A. Mey.) Moq., Сведа заостренная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Chenopodiaceae, Маревые, Suaeda prostrata Pall., Сведа стелющаяся
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cistaceae, Ладанниковые, Helianthemum canum (L.) Hornem., Солнцецвет седой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Cistaceae, Ладанниковые, Helianthemum cretaceum (Rupr.) Juz., Солнцецвет меловой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Convolvulaceae, Вьюнковые, Convolvolus lineatus L., Вьюнок линейчатый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Dipsacaceae, Ворсянковые, Cephalaria litvinovii Bobr., Головчатка Литвинова
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Dipsacaceae, Ворсянковые, Scabiosa ucrainica L., Скабиоза украинская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Droseraceae, Росянковые, Aldrovanda vesiculosa L., Альдрованда пузырчатая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Droseraceae, Росянковые, Drosera rotundifolia L., Росянка круглолистная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ericaceae, Вересковые, Calluna vulgaris (L.) Hull, Вереск обыкновенный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ericaceae, Вересковые, Oxycoccus palustris Pers., Клюква болотная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ericaceae, Вересковые, Vaccinium myrtillus L., Черника
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Ericaceae, Вересковые, Vaccinium vitis-idaea L., Брусника
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus asper Jacq., Астрагал шершавый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus cornutus Pall., Астрагал рогоплодный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus dasyanthus Pall., Астрагал шерстистоцветковый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus pubiflorus DC., Астрагал пушистоцветковый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus rupifragus Pall., Астрагал камнеломковый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Astragalus sulcatus L., Астрагал бороздчатый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Asragalus testiculatus Pall., Астрагал яичкоплодный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Chamaecytisus austriacus (L.) Link, Ракитник австрийский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Chamaecytisus borysthenicus (Grun.) Klaskova, Ракитник днепровский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Genista tanaitica P. Smirn., Дрок донской
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Hedysarum cretaceum Fich., Копеечник меловой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Hedysarum grandiflorum Pall., Копеечник крупноцветковый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Hedysarum ucrainicum Kaschm, Копеечник украинский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Fabaceae, Бобовые, Trifolium lupinaster L., Клевер люпиновый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Gentianaceae, Горечавковые, Gentiana cruciata L., Горечавка перекрестнолистная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Gentianaceae, Горечавковые, Gentiana pneumonanthe L., Горечавка легочная
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Labiatae, Губоцветные, Ajuga laxmannii (L.) Benth., Живучка Лаксмана
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Labiatae, Губоцветные, Dracocephalum ruyschiana L., Змееголовник Рюйша
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Labiatae, Губоцветные, Hyssopus cretaceus Dubjan., Иссоп меловой
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Labiatae, Губоцветные, Salvia aethiopis L., Шалфей эфиопский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Labiatae, Губоцветные, Scutellaria supina L., Шлемник приземистый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Lentibulariaceae, Пузырчатковые, Utricularia minor L., Пузырчатка малая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Limoniaceae, Кермековые, Goniolimon tataricum (L.) Boiss., Углостебельник татарский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Limoniaceae, Кермековые, Limonium bungei (Claus) Gamajun., Кермек Бунге
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Limoniaceae, Кермековые, Limonium plathyphyllum Lincz., Кермек широколистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Limoniaceae, Кермековые, Limonium sareptanum (A. Beck.) Gams., Кермек сарептский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Limoniaceae, Кермековые, Limonium tomentellum (Boiss.) O. Kuntze, Кермек опушенный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Linaceae, Льновые, Linum hirsutum L., Лен жестковолосистый
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Paeoniaceae, Пионовые, Paeonia tenuifolia L., Пион тонколистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Parnassiaceae, Белозоровые, Parnassia palustris L., Белозор болотный
